Country,Region,Year,Happiness Rank,Happiness Score,Health,Trust,Family,Economy,Freedom,Generosity
Belgium,Western Europe,2016,18,6.928999999999999,0.8195899999999999,0.26248,1.05249,1.42539,0.51354,0.2424
Ireland,Western Europe,2016,19,6.907,0.81455,0.29754,1.16157,1.4834100000000001,0.54008,0.44963000000000003
Luxembourg,Western Europe,2016,20,6.871,0.8454200000000001,0.35329,1.03999,1.6975200000000001,0.5487,0.27571
Mexico,Latin America and Caribbean,2016,21,6.778,0.71143,0.18355,0.7146,1.1150799999999998,0.37709000000000004,0.11735
Singapore,Southeastern Asia,2016,22,6.739,0.94719,0.46986999999999995,0.8675799999999999,1.64555,0.4877,0.32706
United Kingdom,Western Europe,2016,23,6.725,0.80991,0.27399,1.0867200000000001,1.40283,0.50036,0.50156
Chile,Latin America and Caribbean,2016,24,6.705,0.8188300000000001,0.11450999999999999,0.9058700000000001,1.2167,0.37789,0.31595
Panama,Latin America and Caribbean,2016,25,6.7010000000000005,0.70835,0.08423,0.9891200000000001,1.18306,0.48927,0.2418
Argentina,Latin America and Caribbean,2016,26,6.65,0.69711,0.07296,1.0661200000000002,1.15137,0.42283999999999994,0.10989000000000002
Czech Republic,Central and Eastern Europe,2016,27,6.596,0.76376,0.03986,1.00793,1.30915,0.41418,0.09929
United Arab Emirates,Middle East and Northern Africa,2016,28,6.5729999999999995,0.72993,0.35561,0.8711399999999999,1.57352,0.56215,0.26591
Uruguay,Latin America and Caribbean,2016,29,6.545,0.72183,0.21394000000000002,1.0314299999999998,1.18157,0.54388,0.18056
Malta,Western Europe,2016,30,6.4879999999999995,0.80315,0.17554,1.09879,1.30782,0.54994,0.56237
Colombia,Latin America and Caribbean,2016,31,6.481,0.59659,0.053989999999999996,1.02169,1.0303200000000001,0.44735,0.15625999999999998
France,Western Europe,2016,32,6.478,0.83795,0.17808,1.00508,1.39488,0.46562,0.1216
Thailand,Southeastern Asia,2016,33,6.474,0.64915,0.02833,1.04477,1.0893,0.49553,0.58696
Saudi Arabia,Middle East and Northern Africa,2016,34,6.379,0.59267,0.30008,0.84829,1.48953,0.37904,0.15457
Taiwan,Eastern Asia,2016,34,6.379,0.79565,0.0663,0.92624,1.39729,0.32377,0.25495
Qatar,Middle East and Northern Africa,2016,36,6.375,0.71723,0.48049,0.87964,1.82427,0.56679,0.32388
Spain,Western Europe,2016,37,6.361000000000001,0.8789600000000001,0.06137000000000001,1.12945,1.34253,0.37545,0.17665
Algeria,Middle East and Northern Africa,2016,38,6.355,0.6180399999999999,0.16157,0.83309,1.05266,0.21006,0.07044
Guatemala,Latin America and Caribbean,2016,39,6.324,0.5403899999999999,0.08701,0.8711899999999999,0.83454,0.50379,0.28808
Suriname,Latin America and Caribbean,2016,40,6.269,0.5093300000000001,0.12692,0.77866,1.09686,0.5223399999999999,0.16665
Kuwait,Middle East and Northern Africa,2016,41,6.239,0.63569,0.23669,0.8775799999999999,1.61714,0.43166000000000004,0.15965
Bahrain,Middle East and Northern Africa,2016,42,6.218,0.65696,0.25772,0.9439700000000001,1.44024,0.47375,0.17147
Trinidad and Tobago,Latin America and Caribbean,2016,43,6.167999999999999,0.52608,0.01241,0.98569,1.32572,0.48453,0.31935
Venezuela,Latin America and Caribbean,2016,44,6.084,0.6190399999999999,0.08304,1.03302,1.1336700000000002,0.19847,0.0425
Slovakia,Central and Eastern Europe,2016,45,6.077999999999999,0.70367,0.02947,1.0826799999999999,1.27973,0.23390999999999998,0.13837
El Salvador,Latin America and Caribbean,2016,46,6.068,0.596,0.10613,0.80975,0.8737,0.37269,0.08877
Malaysia,Southeastern Asia,2016,47,6.005,0.62366,0.09081,0.88025,1.25142,0.39031,0.41473999999999994
Nicaragua,Latin America and Caribbean,2016,48,5.992000000000001,0.65213,0.16292,0.8952100000000001,0.69384,0.46581999999999996,0.29773
Uzbekistan,Central and Eastern Europe,2016,49,5.987,0.50163,0.28333,1.1681,0.7359100000000001,0.60848,0.34326
Italy,Western Europe,2016,50,5.977,0.8510200000000001,0.02556,1.04167,1.35495,0.18827,0.16684000000000002
Ecuador,Latin America and Caribbean,2016,51,5.976,0.68613,0.18037,0.85974,0.97306,0.4027,0.10074
Belize,Latin America and Caribbean,2016,52,5.956,0.45569,0.10770999999999999,0.68655,0.87616,0.51231,0.23684000000000002
Japan,Eastern Asia,2016,53,5.921,0.91491,0.18985,1.06054,1.3800700000000001,0.46761,0.10224
Kazakhstan,Central and Eastern Europe,2016,54,5.919,0.57386,0.11132,0.95544,1.22943,0.4052,0.15011
Moldova,Central and Eastern Europe,2016,55,5.897,0.5230899999999999,0.019030000000000002,0.8313200000000001,0.69177,0.25201999999999997,0.19997
Russia,Central and Eastern Europe,2016,56,5.856,0.58991,0.03586,1.05261,1.2322799999999998,0.32682,0.027360000000000002
Poland,Central and Eastern Europe,2016,57,5.835,0.69058,0.055,1.04685,1.24585,0.4519,0.14443
South Korea,Eastern Asia,2016,57,5.835,0.88645,0.07716,0.7219399999999999,1.35948,0.25168,0.18824000000000002
Bolivia,Latin America and Caribbean,2016,59,5.822,0.4697,0.07746,0.8377899999999999,0.79422,0.50961,0.21698
Lithuania,Central and Eastern Europe,2016,60,5.813,0.64674,0.0182,1.0641100000000001,1.2692,0.18929,0.02025
Belarus,Central and Eastern Europe,2016,61,5.8020000000000005,0.6310399999999999,0.17457,1.04993,1.1306200000000002,0.29091,0.13942000000000002
North Cyprus,Western Europe,2016,62,5.771,0.8414200000000001,0.16577999999999998,0.81826,1.31141,0.43596,0.26322
Slovenia,Central and Eastern Europe,2016,63,5.768,0.79151,0.03635,1.05613,1.2994700000000001,0.53164,0.25738
Peru,Latin America and Caribbean,2016,64,5.742999999999999,0.6299399999999999,0.05292,0.81255,0.9960200000000001,0.37501999999999996,0.14527
